locid,label,x_pct,y_pct,w_pct,h_pct,rotation_deg
rd69,rd69,0.3569,0.6031,0.027,0.0097,0
rd70,rd70,0.3821,0.6031,0.027,0.0097,0
rd71,rd71,0.4078,0.6031,0.027,0.0097,0
rd62,rd62,0.1804,0.6035,0.027,0.0097,0
rd63,rd63,0.2052,0.6035,0.027,0.0097,0
rd64,rd64,0.2305,0.6035,0.0266,0.0097,0
rd65,rd65,0.2553,0.6035,0.0266,0.0097,0
rd66,rd66,0.2806,0.6035,0.027,0.0097,0
f1,f1,0.7464,0.6071,0.0314,0.0119,0
r28b28,r28b28,0.5874,0.6088,0.0096,0.0199,0
r28b14,r28b14,0.5782,0.6093,0.0096,0.0199,0
rd23,rd23,0.8109,0.6257,0.01,0.015,0
r28b13,r28b13,0.5782,0.6274,0.0096,0.0199,0
r28b27,r28b27,0.5874,0.6274,0.0096,0.0199,0
r27b13,r27b13,0.5399,0.6283,0.0096,0.0199,0
r27b26,r27b26,0.549,0.6283,0.0096,0.0199,0
rd22,rd22,0.8109,0.6381,0.01,0.015,0
r28b12,r28b12,0.5782,0.646,0.0096,0.0199,0
r28b26,r28b26,0.5874,0.646,0.0096,0.0199,0
r27b12,r27b12,0.5399,0.6465,0.0096,0.0199,0
r27b25,r27b25,0.549,0.6465,0.0096,0.0199,0
rd20,rd20,0.8109,0.6509,0.01,0.0146,0
rd21,rd21,0.8109,0.6633,0.01,0.015,0
r28b11,r28b11,0.5782,0.6646,0.0096,0.0199,0
r28b25,r28b25,0.5874,0.6646,0.0096,0.0199,0
r27b11,r27b11,0.5399,0.665,0.0096,0.0204,0
r27b24,r27b24,0.549,0.665,0.0096,0.0204,0
r28b10,r28b10,0.5782,0.6823,0.0096,0.0204,0
r28b24,r28b24,0.5874,0.6823,0.0096,0.0204,0
r27b10,r27b10,0.5399,0.6827,0.0096,0.0204,0
r27b23,r27b23,0.549,0.6827,0.0096,0.0204,0
r28b9,r28b9,0.5782,0.7009,0.0096,0.0204,0
r28b23,r28b23,0.5874,0.7009,0.0096,0.0204,0
r27b9,r27b9,0.5399,0.7018,0.0096,0.0199,0
r27b22,r27b22,0.549,0.7018,0.0096,0.0199,0
rd19,rd19,0.8109,0.7022,0.01,0.0155,0
r26g2,r26g2,0.5041,0.7062,0.0174,0.0119,0
r26s3,r26s3,0.5011,0.7075,0.0048,0.0115,0
r26s4,r26s4,0.5207,0.7075,0.0044,0.0115,0
rd18,rd18,0.8109,0.715,0.01,0.0159,0
r26b8,r26b8,0.5033,0.7164,0.0096,0.0204,0
r26b16,r26b16,0.5124,0.7164,0.0092,0.0204,0
rd72,rd72,0.4179,0.7177,0.0109,0.0265,0
m1,m1,0.4501,0.7186,0.0105,0.0735,0
r28b8,r28b8,0.5782,0.7195,0.0096,0.0199,0
r28b22,r28b22,0.5874,0.7195,0.0096,0.0199,0
r27b8,r27b8,0.5399,0.7199,0.0096,0.0199,0
